ID,Area,Header,Group,Description,Value Type,Value,NC,CPA,Unipoint Schema Name,Blank Test
110,3.Containment and Immediate Action,Potential Areas Affected,Consignment,No,Boolean,FALSE,FALSE,FALSE,0,Null
111,3.Containment and Immediate Action,Potential Areas Affected,Distributor,No,Boolean,FALSE,FALSE,FALSE,0,Null
112,3.Containment and Immediate Action,Potential Areas Affected,Enter Location,No,Boolean,FALSE,FALSE,FALSE,0,Null
113,3.Containment and Immediate Action,Potential Areas Affected,Enter Location,No,Boolean,FALSE,FALSE,FALSE,0,Null
114,3.Containment and Immediate Action,Potential Areas Affected,Enter Location,No,Boolean,FALSE,FALSE,FALSE,0,Null
115,3.Containment and Immediate Action,Potential Areas Affected,Enter Location,No,Boolean,FALSE,FALSE,FALSE,0,Null
116,3.Containment and Immediate Action,Containment Action Quantity,At Customer,Quantity,Integer,0,FALSE,FALSE,0,Null
117,3.Containment and Immediate Action,Containment Action Quantity,Acutec WIP,Quantity,Integer,0,FALSE,FALSE,0,Null
118,3.Containment and Immediate Action,Containment Action Quantity,Acutec Stock,Quantity,Integer,0,FALSE,FALSE,0,Null
119,3.Containment and Immediate Action,Containment Action Quantity,At Supplier,Quantity,Integer,0,FALSE,FALSE,0,Null
120,3.Containment and Immediate Action,Containment Action Quantity,In Transit,Quantity,Integer,0,FALSE,FALSE,0,Null
121,3.Containment and Immediate Action,Containment Action Quantity,Consignment,Quantity,Integer,0,FALSE,FALSE,0,Null
122,3.Containment and Immediate Action,Containment Action Quantity,Distributor,Quantity,Integer,0,FALSE,FALSE,0,Null
123,3.Containment and Immediate Action,Containment Action Quantity,Enter Location,Quantity,Integer,0,FALSE,FALSE,0,Null
124,3.Containment and Immediate Action,Containment Action Quantity,Enter Location,Quantity,Integer,0,FALSE,FALSE,0,Null
125,3.Containment and Immediate Action,Containment Action Quantity,Enter Location,Quantity,Integer,0,FALSE,FALSE,0,Null
126,3.Containment and Immediate Action,Containment Action Quantity,Enter Location,Quantity,Integer,0,FALSE,FALSE,0,Null
127,3.Containment and Immediate Action,Containment Action Taken,At Customer,Action Taken,String,0,FALSE,FALSE,0,Null
128,3.Containment and Immediate Action,Containment Action Taken,Acutec WIP,Action Taken,String,0,FALSE,FALSE,0,Null
129,3.Containment and Immediate Action,Containment Action Taken,Acutec Stock,Action Taken,String,0,FALSE,FALSE,0,Null
130,3.Containment and Immediate Action,Containment Action Taken,At Supplier,Action Taken,String,0,FALSE,FALSE,0,Null
131,3.Containment and Immediate Action,Containment Action Taken,In Transit,Action Taken,String,0,FALSE,FALSE,0,Null
132,3.Containment and Immediate Action,Containment Action Taken,Consignment,Action Taken,String,0,FALSE,FALSE,0,Null
133,3.Containment and Immediate Action,Containment Action Taken,Distributor,Action Taken,String,0,FALSE,FALSE,0,Null
134,3.Containment and Immediate Action,Containment Action Taken,Enter Location,Action Taken,String,0,FALSE,FALSE,0,Null
135,3.Containment and Immediate Action,Containment Action Taken,Enter Location,Action Taken,String,0,FALSE,FALSE,0,Null
136,3.Containment and Immediate Action,Containment Action Taken,Enter Location,Action Taken,String,0,FALSE,FALSE,0,Null
137,3.Containment and Immediate Action,Containment Action Taken,Enter Location,Action Taken,String,0,FALSE,FALSE,0,Null
138,3.Containment and Immediate Action,Immediate Actions,Action 1,Actions ,String,0,FALSE,FALSE,0,Null
139,3.Containment and Immediate Action,Immediate Actions,Action 2,Actions ,String,0,FALSE,FALSE,0,Null
140,3.Containment and Immediate Action,Immediate Actions,Action 3,Actions ,String,0,FALSE,FALSE,0,Null
141,3.Containment and Immediate Action,Immediate Actions,Action 4,Actions ,String,0,FALSE,FALSE,0,Null
142,3.Containment and Immediate Action,Immediate Actions,Action 5,Actions ,String,0,FALSE,FALSE,0,Null
143,3.Containment and Immediate Action,Immediate Actions,Action 6,Actions ,String,0,FALSE,FALSE,0,Null
144,3.Containment and Immediate Action,Immediate Actions,Action 1,Assigned To,String,0,FALSE,FALSE,0,Null
145,3.Containment and Immediate Action,Immediate Actions,Action 2,Assigned To,String,0,FALSE,FALSE,0,Null
146,3.Containment and Immediate Action,Immediate Actions,Action 3,Assigned To,String,0,FALSE,FALSE,0,Null
147,3.Containment and Immediate Action,Immediate Actions,Action 4,Assigned To,String,0,FALSE,FALSE,0,Null
148,3.Containment and Immediate Action,Immediate Actions,Action 5,Assigned To,String,0,FALSE,FALSE,0,Null
149,3.Containment and Immediate Action,Immediate Actions,Action 6,Assigned To,String,0,FALSE,FALSE,0,Null
150,3.Containment and Immediate Action,Immediate Actions,Action 1,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
151,3.Containment and Immediate Action,Immediate Actions,Action 2,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
152,3.Containment and Immediate Action,Immediate Actions,Action 3,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
153,3.Containment and Immediate Action,Immediate Actions,Action 4,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
154,3.Containment and Immediate Action,Immediate Actions,Action 5,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
155,3.Containment and Immediate Action,Immediate Actions,Action 6,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
156,3.Containment and Immediate Action,Immediate Actions,Action 1,Planned Objective Evidence,String,0,FALSE,FALSE,0,Null
157,3.Containment and Immediate Action,Immediate Actions,Action 2,Planned Objective Evidence,String,0,FALSE,FALSE,0,Null
158,3.Containment and Immediate Action,Immediate Actions,Action 3,Planned Objective Evidence,String,0,FALSE,FALSE,0,Null
159,3.Containment and Immediate Action,Immediate Actions,Action 4,Planned Objective Evidence,String,0,FALSE,FALSE,0,Null
160,3.Containment and Immediate Action,Immediate Actions,Action 5,Planned Objective Evidence,String,0,FALSE,FALSE,0,Null
161,3.Containment and Immediate Action,Immediate Actions,Action 6,Planned Objective Evidence,String,0,FALSE,FALSE,0,Null
162,4.Determine Root Causes,Why Analysis,N/A,Complete,Boolean,FALSE,FALSE,FALSE,0,Null
163,4.Determine Root Causes,Why Analysis,N/A,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
164,4.Determine Root Causes,Why Analysis,N/A,Attached,Boolean,FALSE,FALSE,FALSE,0,Null
165,4.Determine Root Causes,Why Analysis,Specific Nonconformance,Field 1,String,0,FALSE,FALSE,0,Null
166,4.Determine Root Causes,Why Analysis,Specific Nonconformance,Field 2,String,0,FALSE,FALSE,0,Null
167,4.Determine Root Causes,Why Analysis,Specific Nonconformance,Field 3,String,0,FALSE,FALSE,0,Null
168,4.Determine Root Causes,Why Analysis,Specific Nonconformance,Field 4,String,0,FALSE,FALSE,0,Null
169,4.Determine Root Causes,Why Analysis,Specific Nonconformance,Final,String,0,FALSE,FALSE,0,Null
170,4.Determine Root Causes,Why Analysis,Not Detected,Field 1,String,0,FALSE,FALSE,0,Null
171,4.Determine Root Causes,Why Analysis,Not Detected,Field 2,String,0,FALSE,FALSE,0,Null
172,4.Determine Root Causes,Why Analysis,Not Detected,Field 3,String,0,FALSE,FALSE,0,Null
173,4.Determine Root Causes,Why Analysis,Not Detected,Field 4,String,0,FALSE,FALSE,0,Null
174,4.Determine Root Causes,Why Analysis,Not Detected,Final,String,0,FALSE,FALSE,0,Null
175,4.Determine Root Causes,Why Analysis,Systemic,Field 1,String,0,FALSE,FALSE,0,Null
176,4.Determine Root Causes,Why Analysis,Systemic,Field 2,String,0,FALSE,FALSE,0,Null
177,4.Determine Root Causes,Why Analysis,Systemic,Field 3,String,0,FALSE,FALSE,0,Null
178,4.Determine Root Causes,Why Analysis,Systemic,Field 4,String,0,FALSE,FALSE,0,Null
179,4.Determine Root Causes,Why Analysis,Systemic,Final,String,0,FALSE,FALSE,0,Null
180,4.Determine Root Causes,Additional Tools,Cause Effect Diagram,Complete,Boolean,FALSE,FALSE,FALSE,0,Null
181,4.Determine Root Causes,Additional Tools,Pareto Chart,Complete,Boolean,FALSE,FALSE,FALSE,0,Null
182,4.Determine Root Causes,Additional Tools,Future Expansion 1,Complete,Boolean,FALSE,FALSE,FALSE,0,Null
183,4.Determine Root Causes,Additional Tools,Future Expansion 2,Complete,Boolean,FALSE,FALSE,FALSE,0,Null
184,4.Determine Root Causes,Additional Tools,Future Expansion 3,Complete,Boolean,FALSE,FALSE,FALSE,0,Null
185,4.Determine Root Causes,Additional Tools,Cause Effect Diagram,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
186,4.Determine Root Causes,Additional Tools,Pareto Chart,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
187,4.Determine Root Causes,Additional Tools,Future Expansion 1,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
188,4.Determine Root Causes,Additional Tools,Future Expansion 2,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
189,4.Determine Root Causes,Additional Tools,Future Expansion 3,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
190,4.Determine Root Causes,Additional Tools,Flow Diagram,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
191,4.Determine Root Causes,Additional Tools,Gage R&R,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
192,4.Determine Root Causes,Additional Tools,Capability Analysis,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
193,4.Determine Root Causes,Additional Tools,Cause Effect Diagram,Attached,Boolean,FALSE,FALSE,FALSE,0,Null
194,4.Determine Root Causes,Additional Tools,Pareto Chart,Attached,Boolean,FALSE,FALSE,FALSE,0,Null
195,4.Determine Root Causes,Additional Tools,Future Expansion 1,Attached,Boolean,FALSE,FALSE,FALSE,0,Null
196,4.Determine Root Causes,Additional Tools,Future Expansion 2,Attached,Boolean,FALSE,FALSE,FALSE,0,Null
197,4.Determine Root Causes,Additional Tools,Future Expansion 3,Attached,Boolean,FALSE,FALSE,FALSE,0,Null
198,4.Determine Root Causes,Additional Tools,Flow Diagram,Attached,Boolean,FALSE,FALSE,FALSE,0,Null
199,4.Determine Root Causes,Additional Tools,Gage R&R,Attached,Boolean,FALSE,FALSE,FALSE,0,Null
200,4.Determine Root Causes,Additional Tools,Capability Analysis,Attached,Boolean,FALSE,FALSE,FALSE,0,Null
201,4.Determine Root Causes,Cause and Effect,Measurement,Rank,String,0,FALSE,FALSE,0,Null
202,4.Determine Root Causes,Cause and Effect,Materials,Rank,String,0,FALSE,FALSE,0,Null
203,4.Determine Root Causes,Cause and Effect,Methods,Rank,String,0,FALSE,FALSE,0,Null
204,4.Determine Root Causes,Cause and Effect,Environement,Rank,String,0,FALSE,FALSE,0,Null
205,4.Determine Root Causes,Cause and Effect,People,Rank,String,0,FALSE,FALSE,0,Null
206,4.Determine Root Causes,Cause and Effect,Equipment,Rank,String,0,FALSE,FALSE,0,Null
207,4.Determine Root Causes,Pareto,Reason for Nonconformance,Reason 1,String,0,FALSE,FALSE,0,Null
208,4.Determine Root Causes,Pareto,Reason for Nonconformance,Reason 2,String,0,FALSE,FALSE,0,Null
209,4.Determine Root Causes,Pareto,Reason for Nonconformance,Reason 3,String,0,FALSE,FALSE,0,Null
210,4.Determine Root Causes,Pareto,Reason for Nonconformance,Reason 4,String,0,FALSE,FALSE,0,Null
211,4.Determine Root Causes,Pareto,Reason for Nonconformance,Reason 5,String,0,FALSE,FALSE,0,Null
212,4.Determine Root Causes,Pareto,Reason for Nonconformance,Reason 6,String,0,FALSE,FALSE,0,Null
213,4.Determine Root Causes,Pareto,Reason for Nonconformance,Reason 7,String,0,FALSE,FALSE,0,Null
214,4.Determine Root Causes,Pareto,Reason for Nonconformance,Other,String,Other,FALSE,FALSE,0,Null
215,4.Determine Root Causes,Pareto,Frequency of Nonconformance,Reason 1,String,0,FALSE,FALSE,0,Null
216,4.Determine Root Causes,Pareto,Frequency of Nonconformance,Reason 2,String,0,FALSE,FALSE,0,Null
217,4.Determine Root Causes,Pareto,Frequency of Nonconformance,Reason 3,String,0,FALSE,FALSE,0,Null
218,4.Determine Root Causes,Pareto,Frequency of Nonconformance,Reason 4,String,0,FALSE,FALSE,0,Null
219,4.Determine Root Causes,Pareto,Frequency of Nonconformance,Reason 5,String,0,FALSE,FALSE,0,Null
220,4.Determine Root Causes,Pareto,Frequency of Nonconformance,Reason 6,String,0,FALSE,FALSE,0,Null
221,4.Determine Root Causes,Pareto,Frequency of Nonconformance,Reason 7,String,0,FALSE,FALSE,0,Null
222,4.Determine Root Causes,Pareto,Frequency of Nonconformance,Other,String,0,FALSE,FALSE,0,Null
223,4.Determine Root Causes,Pareto,Cumulatative Percentage,Reason 1,String,#DIV/0!,FALSE,FALSE,0,Null
224,4.Determine Root Causes,Pareto,Cumulatative Percentage,Reason 2,String,#DIV/0!,FALSE,FALSE,0,Null
225,4.Determine Root Causes,Pareto,Cumulatative Percentage,Reason 3,String,#DIV/0!,FALSE,FALSE,0,Null
226,4.Determine Root Causes,Pareto,Cumulatative Percentage,Reason 4,String,#DIV/0!,FALSE,FALSE,0,Null
227,4.Determine Root Causes,Pareto,Cumulatative Percentage,Reason 5,String,#DIV/0!,FALSE,FALSE,0,Null
228,4.Determine Root Causes,Pareto,Cumulatative Percentage,Reason 6,String,#DIV/0!,FALSE,FALSE,0,Null
229,4.Determine Root Causes,Pareto,Cumulatative Percentage,Reason 7,String,#DIV/0!,FALSE,FALSE,0,Null
230,4.Determine Root Causes,Pareto,Cumulatative Percentage,Other,String,#DIV/0!,FALSE,FALSE,0,Null
231,4.Determine Root Causes,State Root Causes,Root Cause of Specific Nonconformance,Description,String,0,FALSE,FALSE,0,Null
232,4.Determine Root Causes,State Root Causes,Root Cause of Nonconformance,Root Cause Code,String,0,FALSE,FALSE,0,Null
233,4.Determine Root Causes,State Root Causes,Root Cause the Defect was not Detected,Description,String,0,FALSE,FALSE,0,Null
234,4.Determine Root Causes,State Root Causes,Root Cause the Defect was not Detected,Root Cause Code,String,0,FALSE,FALSE,0,Null
235,4.Determine Root Causes,State Root Causes,Root Cause of the Systemic Nonconformance,Description,String,0,FALSE,FALSE,0,Null
236,4.Determine Root Causes,State Root Causes,Root Cause of the Systemic Nonconformance,Root Cause Code,String,0,FALSE,FALSE,0,Null
237,5.Look Across,Look to see …,Like Parts,Complete,Boolean,FALSE,FALSE,FALSE,0,Null
238,5.Look Across,Look to see …,Like Parts,Description,String,0,FALSE,FALSE,0,Null
239,5.Look Across,Look to see …,Like Processes,Complete,Boolean,FALSE,FALSE,FALSE,0,Null
240,5.Look Across,Look to see …,Like Processes,Description,String,0,FALSE,FALSE,0,Null
241,5.Look Across,Look to see …,Like Plants,Complete,Boolean,FALSE,FALSE,FALSE,0,Null
242,5.Look Across,Look to see …,Like Plants,Description,String,0,FALSE,FALSE,0,Null
243,6.Corrective and Preventive Actions,Document Actions,Action 1,Action,String,0,FALSE,FALSE,0,Null
244,6.Corrective and Preventive Actions,Document Actions,Action 1,Corrective,Boolean,FALSE,FALSE,FALSE,0,Null
245,6.Corrective and Preventive Actions,Document Actions,Action 1,Preventative,Boolean,FALSE,FALSE,FALSE,0,Null
246,6.Corrective and Preventive Actions,Document Actions,Action 1,Assigned To,String,0,FALSE,FALSE,0,Null
247,6.Corrective and Preventive Actions,Document Actions,Action 1,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
248,6.Corrective and Preventive Actions,Document Actions,Action 1,Planned Objective Evidence,String,0,FALSE,FALSE,0,Null
249,6.Corrective and Preventive Actions,Document Actions,Action 1,Corrective Action Code,String,0,FALSE,FALSE,0,Null
250,6.Corrective and Preventive Actions,Document Actions,Action 2,Action,String,0,FALSE,FALSE,0,Null
251,6.Corrective and Preventive Actions,Document Actions,Action 2,Corrective,Boolean,FALSE,FALSE,FALSE,0,Null
252,6.Corrective and Preventive Actions,Document Actions,Action 2,Preventative,Boolean,FALSE,FALSE,FALSE,0,Null
253,6.Corrective and Preventive Actions,Document Actions,Action 2,Assigned To,String,0,FALSE,FALSE,0,Null
254,6.Corrective and Preventive Actions,Document Actions,Action 2,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
255,6.Corrective and Preventive Actions,Document Actions,Action 2,Planned Objective Evidence,String,0,FALSE,FALSE,0,Null
256,6.Corrective and Preventive Actions,Document Actions,Action 2,Corrective Action Code,String,0,FALSE,FALSE,0,Null
257,6.Corrective and Preventive Actions,Document Actions,Action 3,Action,String,0,FALSE,FALSE,0,Null
258,6.Corrective and Preventive Actions,Document Actions,Action 3,Corrective,Boolean,FALSE,FALSE,FALSE,0,Null
259,6.Corrective and Preventive Actions,Document Actions,Action 3,Preventative,Boolean,FALSE,FALSE,FALSE,0,Null
260,6.Corrective and Preventive Actions,Document Actions,Action 3,Assigned To,String,0,FALSE,FALSE,0,Null
261,6.Corrective and Preventive Actions,Document Actions,Action 3,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
262,6.Corrective and Preventive Actions,Document Actions,Action 3,Planned Objective Evidence,String,0,FALSE,FALSE,0,Null
